번호,법령명,조문명
1,"노동위원회법 시행규칙[시행2015. 7. 21.] [고용노동부령 제135호,2015. 7. 20., 일부개정]",제6조 선임된 권리구제업무 대리인의 보수
2,"노동위원회법 시행규칙[시행2015. 7. 21.] [고용노동부령 제135호,2015. 7. 21., 일부개정]",제1조 목적
3,"노동위원회법 시행규칙[시행2015. 7. 21.] [고용노동부령 제135호,2015. 7. 22., 일부개정]",제5조 권리구제업무 대리인의 위촉 등
4,"노동위원회법 시행규칙[시행2015. 7. 21.] [고용노동부령 제135호,2015. 7. 23., 일부개정]",제7조 
5,"노동위원회법 시행규칙[시행2015. 7. 21.] [고용노동부령 제135호,2015. 7. 24., 일부개정]",제3조 권리구제업무 대리의 요건 등
6,"노동위원회법 시행규칙[시행2015. 7. 21.] [고용노동부령 제135호,2015. 7. 25., 일부개정]",제2조 제출서류
7,"외국인근로자의 고용 등에 관한 법률 시행규칙[시행2025. 6. 2.] [고용노동부령 제442호,2025. 6. 2., 일부개정]",제2조 제2장 외국인근로자 고용절차
8,"외국인근로자의 고용 등에 관한 법률 시행규칙[시행2025. 6. 2.] [고용노동부령 제442호,2025. 6. 3., 일부개정]",제8조 표준근로계약서
9,"외국인근로자의 고용 등에 관한 법률 시행규칙[시행2025. 6. 2.] [고용노동부령 제442호,2025. 6. 4., 일부개정]",제13조 특례고용가능확인서의 변경 확인
10,"외국인근로자의 고용 등에 관한 법률 시행규칙[시행2025. 6. 2.] [고용노동부령 제442호,2025. 6. 5., 일부개정]",제17조 자료 제출의 요구 등
11,"파견근로자 보호 등에 관한 법률 시행령[시행2025. 6. 21.] [대통령령 제35597호,2025. 6. 20., 타법개정]",제6조의2 민감정보 및 고유식별정보의 처리
12,"외국인근로자의 고용 등에 관한 법률 시행규칙[시행2025. 6. 2.] [고용노동부령 제442호,2025. 6. 2., 일부개정]",제5조 고용허가서의 발급
13,"외국인근로자의 고용 등에 관한 법률 시행규칙[시행2025. 6. 2.] [고용노동부령 제442호,2025. 6. 3., 일부개정]",제12조 구직신청
14,"외국인근로자의 고용 등에 관한 법률 시행규칙[시행2025. 6. 2.] [고용노동부령 제442호,2025. 6. 4., 일부개정]",제14조의3 재입국 취업 제한의 특례에 관한 절차
15,"파견근로자 보호 등에 관한 법률 시행령[시행2025. 6. 21.] [대통령령 제35597호,2025. 6. 20., 타법개정]",제3조 허가의 세부기준
16,"외국인근로자의 고용 등에 관한 법률 시행규칙[시행2025. 6. 2.] [고용노동부령 제442호,2025. 6. 2., 일부개정]",제2조 직업소개
17,"외국인근로자의 고용 등에 관한 법률 시행규칙[시행2025. 6. 2.] [고용노동부령 제442호,2025. 6. 3., 일부개정]",제1조 제1장 총칙
18,"외국인근로자의 고용 등에 관한 법률 시행규칙[시행2025. 6. 2.] [고용노동부령 제442호,2025. 6. 4., 일부개정]",제16조 사업 또는 사업장의 변경
19,"파견근로자 보호 등에 관한 법률 시행령[시행2025. 6. 21.] [대통령령 제35597호,2025. 6. 20., 타법개정]",제4조의2 정보제공의 범위 및 방법
20,"외국인근로자의 고용 등에 관한 법률 시행규칙[시행2025. 6. 2.] [고용노동부령 제442호,2025. 6. 2., 일부개정]",제7조 
21,"외국인근로자의 고용 등에 관한 법률 시행규칙[시행2025. 6. 2.] [고용노동부령 제442호,2025. 6. 3., 일부개정]",제12조의3 근로개시 신고
22,"외국인근로자의 고용 등에 관한 법률 시행규칙[시행2025. 6. 2.] [고용노동부령 제442호,2025. 6. 4., 일부개정]",제18조 수수료 등의 징수
23,"외국인근로자의 고용 등에 관한 법률 시행규칙[시행2025. 6. 2.] [고용노동부령 제442호,2025. 6. 5., 일부개정]",제20조 규제의 재검토
24,"외국인근로자의 고용 등에 관한 법률 시행규칙[시행2025. 6. 2.] [고용노동부령 제442호,2025. 6. 6., 일부개정]",제11조의2 사용자 교육
25,"외국인근로자의 고용 등에 관한 법률 시행규칙[시행2025. 6. 2.] [고용노동부령 제442호,2025. 6. 7., 일부개정]",제17조 제5장 보칙
26,"파견근로자 보호 등에 관한 법률 시행령[시행2025. 6. 21.] [대통령령 제35597호,2025. 6. 20., 타법개정]",제6조 권한의 위임
27,"외국인근로자의 고용 등에 관한 법률 시행규칙[시행2025. 6. 2.] [고용노동부령 제442호,2025. 6. 2., 일부개정]",제3조 
28,"외국인근로자의 고용 등에 관한 법률 시행규칙[시행2025. 6. 2.] [고용노동부령 제442호,2025. 6. 3., 일부개정]",제11조의3 외국인 취업교육기관의 지정절차 등
29,"외국인근로자의 고용 등에 관한 법률 시행규칙[시행2025. 6. 2.] [고용노동부령 제442호,2025. 6. 4., 일부개정]",제15조의2 외국인근로자 권익보호협의회의 구성 및 운영
30,"파견근로자 보호 등에 관한 법률 시행령[시행2025. 6. 21.] [대통령령 제35597호,2025. 6. 20., 타법개정]",제6조의3 
31,"외국인근로자의 고용 등에 관한 법률 시행규칙[시행2025. 6. 2.] [고용노동부령 제442호,2025. 6. 2., 일부개정]",제9조 고용허가기간 연장허가
32,"외국인근로자의 고용 등에 관한 법률 시행규칙[시행2025. 6. 2.] [고용노동부령 제442호,2025. 6. 3., 일부개정]",제14조의2 취업활동 기간 제한에 관한 특례 절차
33,"외국인근로자의 고용 등에 관한 법률 시행규칙[시행2025. 6. 2.] [고용노동부령 제442호,2025. 6. 4., 일부개정]",제19조 업무처리규정
34,"파견근로자 보호 등에 관한 법률 시행령[시행2025. 6. 21.] [대통령령 제35597호,2025. 6. 20., 타법개정]",제2조 근로자파견의 대상 및 금지업무
35,"파견근로자 보호 등에 관한 법률 시행령[시행2025. 6. 21.] [대통령령 제35597호,2025. 6. 21., 타법개정]",제4조 파견근로자의 사용제한
36,"외국인근로자의 고용 등에 관한 법률 시행규칙[시행2025. 6. 2.] [고용노동부령 제442호,2025. 6. 2., 일부개정]",제11조의4 외국인 취업교육기관의 운영
37,"외국인근로자의 고용 등에 관한 법률 시행규칙[시행2025. 6. 2.] [고용노동부령 제442호,2025. 6. 3., 일부개정]",제15조의2 제4장 외국인근로자의 보호
38,"파견근로자 보호 등에 관한 법률 시행령[시행2025. 6. 21.] [대통령령 제35597호,2025. 6. 20., 타법개정]",제5조 사용사업주의 귀책사유
39,"건설근로자의 고용개선 등에 관한 법률 시행령[시행2025. 10. 1.] [대통령령 제35805호,2025. 10. 1., 타법개정]",제1조 목적
40,"건설근로자의 고용개선 등에 관한 법률 시행령[시행2025. 10. 1.] [대통령령 제35805호,2025. 10. 2., 타법개정]",제3조 기본계획의 중요사항 변경
41,"건설근로자의 고용개선 등에 관한 법률 시행령[시행2025. 10. 1.] [대통령령 제35805호,2025. 10. 3., 타법개정]",제5조의3 자료 조회 요청
42,"건설근로자의 고용개선 등에 관한 법률 시행령[시행2025. 10. 1.] [대통령령 제35805호,2025. 10. 4., 타법개정]",제14조 퇴직공제금 등의 계산방법
43,"건설근로자의 고용개선 등에 관한 법률 시행령[시행2025. 10. 1.] [대통령령 제35805호,2025. 10. 5., 타법개정]",제17조 업무의 대행
44,"진폐의 예방과 진폐근로자의 보호 등에 관한 법률 시행령[시행2025. 10. 1.] [대통령령 제35805호,2025. 10. 1., 타법개정]",제9조 진폐심사의사
45,"진폐의 예방과 진폐근로자의 보호 등에 관한 법률 시행령[시행2025. 10. 1.] [대통령령 제35805호,2025. 10. 2., 타법개정]",제16조 제5장 보칙
46,"공무원의 노동조합 설립 및 운영 등에 관한 법률 시행규칙[시행2025. 10. 1.] [고용노동부령 제453호,2025. 10. 1., 타법개정]",제3조 교섭요구서의 제출
47,"근로복지기본법 시행규칙[시행2025. 10. 1.] [고용노동부령 제453호,2025. 10. 1., 타법개정]",제19조 조합 해산의 보고
48,"근로복지기본법 시행규칙[시행2025. 10. 1.] [고용노동부령 제453호,2025. 10. 2., 타법개정]",제21조 사내근로복지기금법인 설립인가 등
49,"근로복지기본법 시행규칙[시행2025. 10. 1.] [고용노동부령 제453호,2025. 10. 3., 타법개정]",제29조의3 준용
50,"건설근로자의 고용개선 등에 관한 법률 시행령[시행2025. 10. 1.] [대통령령 제35805호,2025. 10. 1., 타법개정]",제4조의2 임금비용의 구분지급 및 확인 대상 건설공사
51,"건설근로자의 고용개선 등에 관한 법률 시행령[시행2025. 10. 1.] [대통령령 제35805호,2025. 10. 2., 타법개정]",제8조 퇴직공제의 가입 등
52,"건설근로자의 고용개선 등에 관한 법률 시행령[시행2025. 10. 1.] [대통령령 제35805호,2025. 10. 3., 타법개정]",제16조 퇴직공제금 수령의 위임
53,"진폐의 예방과 진폐근로자의 보호 등에 관한 법률 시행령[시행2025. 10. 1.] [대통령령 제35805호,2025. 10. 1., 타법개정]",제4조 
54,"진폐의 예방과 진폐근로자의 보호 등에 관한 법률 시행령[시행2025. 10. 1.] [대통령령 제35805호,2025. 10. 2., 타법개정]",제12조의4 제3장 건강관리
55,"진폐의 예방과 진폐근로자의 보호 등에 관한 법률 시행령[시행2025. 10. 1.] [대통령령 제35805호,2025. 10. 3., 타법개정]",제18조 제6장 벌칙
56,"근로복지기본법 시행규칙[시행2025. 10. 1.] [고용노동부령 제453호,2025. 10. 1., 타법개정]",제2조 생활안정자금의 융자
