지식등록법령조문일련번호,지식등록법령일련번호,시행일자,조문번호,조문가지번호,조문제목,등록여부,법령지식조문일련번호,조문일련번호
136823,1948,1995-03-18,0014,00,청원의 철회,Y,136823,17152459
136824,1948,1995-03-18,0007,00,청원서회부,Y,136824,17142315
136820,1948,1995-03-18,0008,00,청원심사소위원회,Y,136820,17142316
136821,1948,1995-03-18,0012,00,본회의에 부의하지 아니하는 청원,Y,136821,17142320
136814,1948,1995-03-18,0002,00,청원서의 제출,Y,136814,16667461
136815,1948,1995-03-18,0003,00,소개의견서 첨부,Y,136815,16667462
136816,1948,1995-03-18,0004,00,청원서 보완요구,Y,136816,16667463
136817,1948,1995-03-18,0005,00,불수리사항의 통지,Y,136817,16667464
136818,1948,1995-03-18,0006,00,이의신청,Y,136818,16667465
136819,1948,1995-03-18,0015,00,소개의 철회와 청원의 효력,Y,136819,17152460
136822,1948,1995-03-18,0013,00,청원인에 통지,Y,136822,17142321
150506,8371,1995-07-08,0007,00,무단방치자전거의 매각,Y,150506,17601949
150508,8371,1995-07-08,0002,00,정비계획의 공고,Y,150508,17600917
150507,8371,1995-07-08,0005,00,자전거의 등록,Y,150507,17600920
136831,1951,2002-07-01,0007,00,通信費,Y,136831,29794038
136832,1951,2002-07-01,0008,00,公告費,Y,136832,29794039
136829,1951,2002-07-01,0009,00,其他 費用,Y,136829,29794040
136827,1951,2002-07-01,0003,00,書記料等,Y,136827,29794013
136826,1951,2002-07-01,0002,00,印紙額,Y,136826,29794012
136825,1951,2002-07-01,0001,00,訴訟費用의 目的,Y,136825,29794011
136833,1951,2002-07-01,0005,00,法官등의 日當·旅費,Y,136833,29794015
136830,1951,2002-07-01,0006,00,鑑定等에 對한 特別料金,Y,136830,29794037
150510,8372,2002-07-01,0002,00,상고 또는 재항고 이유서의 기재방식,Y,150510,25427916
150512,8372,2002-07-01,0005,00,최초의 기일통지서의 기재사항,Y,150512,25427958
150511,8372,2002-07-01,0001,00,목적,Y,150511,25427935
150509,8372,2002-07-01,0003,00,구술제소,Y,150509,25427936
150513,8372,2002-07-01,0006,00,서면신문의 방식,Y,150513,25427939
136828,1951,2002-07-01,0004,00,"證人, 鑑定人等에 對한 日當, 旅費等",Y,136828,29794014
150494,8369,2002-09-01,0023,00,감치의 집행방법,Y,150494,25396957
150514,8373,2003-11-30,0005,00,종교단체 및 향교등의 실명등기등,Y,150514,15191110
150519,8376,2004-03-17,0007,00,신변안전조치의 종류,Y,150519,16456411
150520,8376,2004-03-17,0009,00,구조금의 산정,Y,150520,16456412
150515,8374,2004-07-26,0002,00,부담기준,Y,150515,17614582
150517,8375,2005-01-01,0009,00,법원보관금의 납부,Y,150517,25396126
150518,8375,2005-01-01,0021,00,잔액의 환급절차,Y,150518,25396132
150516,8375,2005-01-01,0010,00,취급점의 처리,Y,150516,25396138
150521,8377,2005-07-28,0008,00,소송절차의 중지,Y,150521,17707970
136895,1957,2006-03-24,0008,00,正當防衛等,Y,136895,25423969
136892,1956,2006-03-24,0005,00,응시자격,Y,136892,23400230
136897,1957,2006-03-24,0006,00,未遂犯,Y,136897,25423992
136896,1957,2006-03-24,0005,00,團體등의 이용·지원,Y,136896,25423989
136894,1957,2006-03-24,0003,00,集團的 暴行等,Y,136894,25423964
136893,1957,2006-03-24,0002,00,暴行等,Y,136893,25423987
136898,1957,2006-03-24,0004,00,團體등의 구성·活動,Y,136898,25423966
150528,8378,2006-11-28,0019,00,지급절차,Y,150528,17951458
150527,8378,2006-11-28,0020,00,포상금 환수,Y,150527,17951459
150526,8378,2006-11-28,0018,00,지급 결정,Y,150526,17951457
150525,8378,2006-11-28,0007,00,익명 또는 가명에 의한 신청,Y,150525,17959016
150524,8378,2006-11-28,0017,00,지급의 제한,Y,150524,17951456
150523,8378,2006-11-28,0016,00,지급기준,Y,150523,17951455
150522,8378,2006-11-28,0006,00,신청절차,Y,150522,17959015
