일상용어 일련번호,일상용어,비고내용,출처,등록일시,수정일시
153253,구조필요,,,2023-01-02,2023-09-17
153255,엠뷸런스,,,2023-01-02,
153257,소방본부,,,2023-01-02,2023-04-07
153259,자국민,,,2023-01-02,2023-05-29
153261,요구급자,,,2023-01-02,
153263,똥오줌,,,2023-01-04,
153265,저류시설,,,2023-01-04,2023-06-28
153267,합류식하수관거,,,2023-01-04,
153269,분류식하수관거,,,2023-01-04,
153271,국가감사기관,,,2023-01-04,
153273,한강유역환경청장,,,2023-01-04,
153275,금강유역환경청장,,,2023-01-04,
153277,영산강유역환경청장,,,2023-01-04,
153279,낙동강유역환경청장,,,2023-01-04,
153281,대구지방환경청장,,,2023-01-04,
153283,원주지방환경청장,,,2023-01-04,
153285,전북지방환경청장,,,2023-01-04,
153287,정치단체,,,2023-01-04,2023-01-04
153289,보상책임자,,,2023-01-04,
153291,천연물성분,,,2023-01-04,
153293,소청청구,,,2023-01-04,2023-01-10
153295,소청구,,,2023-01-04,
153297,제정안,,,2023-01-04,
153299,모으기,,,2023-01-04,
153301,프랜차이즈사업,,,2023-01-04,
153303,열원,,,2023-01-04,
153305,수소에너지,,,2023-01-04,2023-08-21
153309,폐기물에너지,,,2023-01-04,
153311,에너지사용시설,,,2023-01-04,2023-09-07
153313,열사용기자재,,,2023-01-04,2023-08-24
153315,보일러,,,2023-01-04,2023-09-12
153317,태양열집열기,,,2023-01-04,
153319,압력용기,,,2023-01-04,2023-08-11
153321,고온가열장치,,,2023-01-04,
153323,에너지기본계획,,,2023-01-04,
153325,에기평,,,2023-01-04,
153327,KETEP,,,2023-01-04,
153329,구직수당,,,2023-01-04,2023-02-22
153331,취업수당,,,2023-01-04,
153333,에너지이용소외계층,,,2023-01-04,
153335,렌탈,,,2023-01-04,2023-04-05
153337,전체금액,,,2023-01-04,
153339,인정행위,,,2023-01-05,
153341,자산조회,,,2023-01-05,
153343,제공사항,,,2023-01-05,2023-01-29
153351,부가통신업자,,,2023-01-05,2023-03-08
153353,갯벌생태계혜택,,,2023-01-05,
153355,등록요청,,,2023-01-05,2023-05-01
153357,갯벌현황조사,,,2023-01-05,
153359,해양보호지역,,,2023-01-05,
153361,영관,,,2023-01-05,2023-07-15
153363,일등병,,,2023-01-05,
153365,상등병,,,2023-01-05,
153367,등록변경,,,2023-01-05,2023-06-11
153369,토지등록단위,,,2023-01-05,
153371,갯벌생태해설가,,,2023-01-05,
153375,고등교육혁신특화구역,,,2023-01-05,
153377,취직기회,,,2023-01-05,
153379,구직기회,,,2023-01-05,
153381,자금확보,,,2023-01-05,2023-03-13
153383,재원미확보,,,2023-01-05,
153385,채용현황,,,2023-01-05,
153387,채용실정,,,2023-01-05,
153389,우대수수료,,,2023-01-05,
153401,신임직급,,,2023-01-06,
153403,환산방식,,,2023-01-06,
153405,직렬변경,,,2023-01-06,2023-01-27
153407,삼성장군,,,2023-01-06,
153409,근무태도평정,,,2023-01-06,
153411,냇물,,,2023-01-06,
153421,손아래,,,2023-01-06,
153423,영업종료일,,,2023-01-06,
153425,개업일,,,2023-01-06,2023-06-13
153427,병원체자원,,,2023-01-06,2023-01-06
153431,진균,,,2023-01-06,
153433,원충,,,2023-01-06,
153435,세포물질,,,2023-01-06,
153437,항체,,,2023-01-06,2023-09-20
153439,건설기계정비,,,2023-01-06,
153441,건설기계분해재활용업,,,2023-01-06,
153443,기술노동력,,,2023-01-06,
153445,건설기계업,,,2023-01-06,2023-01-06
153447,소질검사,,,2023-01-06,
153449,고위공무원범죄,,,2023-01-06,
153451,고위직공무원범죄,,,2023-01-06,
153453,수사처검찰관,,,2023-01-06,
153455,가주,,,2023-01-06,
153457,산정수치,,,2023-01-06,2023-07-24
153459,특정한물질,,,2023-01-06,
153461,보건의료업무,,,2023-01-06,
153463,전공의,,,2023-01-06,2023-06-12
